go,जा 
come,ओस 
sit,बोठ 
rice,खराक 
play,खेल्लुवा 
i,मुई 
you,तोर 
my,मोर
we,हमा
our,हमार
all,गोट्टेला 
yesterday,कल 
today,आज 
tomorrow,कालीगे 
where,कुना 
mummy,आई 
baba,बाउ 
grandfather,दादो
gradndmother,दादी
brother,भाई
sister,बहिन
when,
how,किनङ्गे 
why,काए 
way,रस्ता 
here,हितीना 
what,काए
water,जल 
look,देख
and,आर
people,लोग 
over,उपर 
know,पत्ता 
like this,हिनङ्गे
this,ईला 
did,करेसोक 
house,घरत 
infront,आगुबिती
behind,पाछुबिती
his/Her,वाँर 
road,दमाल्ड 
very much,बढ्ढा 
mango,आँम 
monkey,बन्दर 
book,किताब 
blanket,झाका 
balcony,धाप 
door,दुवार 
kitchen,नदेन घर 
few,एक जरा 
soon,ज्ल्दी 
saw,देखल्कु 
far,भेल्ला दुर 
pull,तान्नु 
ask,पुछारिक
now,अल्हा 
many,भेलेला
out,बाहार
nowadays,आचकल
possible,सम्भव
threate,गाली दितोक
now,अल्लाई
prison,जेल
want,चाहॉवर / चाहातोक
too,ईहान
see,देख्नु
run,दौडीनू
our,हामार
near,नज्दिक
far,दुर
push,ठेल्वा
open,खुल्ला
ask,ककीना
tell,क
coming,आसेसोक
going,जासोक
from,आर से
try,कोशिस
back,पाछु
eat,खाबा
put,रखवार
